採番,流域平均累加雨量,最大降雨強度（流域平均）,継続時間,台風直接時間,台風間接時間,前線時間,線状降水帯時間,開始,終了,SST,アンサンブル,開始時刻,終了時刻,開始年,開始月,開始日,開始時,終了年,終了月,終了日,終了時,気象場DSOM
3,27.085,3.47,25,16.5,8.5,24,0,29240,29289,HPB,10,1952-09-01 03:30:00,1952-09-02 04:00:00,1952,9,1,6,1952,9,2,6,9
4,105.455,5.05,230.5,24.5,67,24,0,61797,62257,HPB,10,1954-07-11 10:00:00,1954-07-21 00:00:00,1954,7,11,12,1954,7,21,0,2
5,56.97,3.38,88,47,41,6,0,79311,79486,HPB,10,1955-07-11 07:00:00,1955-07-14 22:30:00,1955,7,11,6,1955,7,15,0,2
6,24.23,4.02,62,0,0,24,0,98608,98731,HPB,10,1956-08-16 07:30:00,1956-08-18 21:00:00,1956,8,16,6,1956,8,19,0,13
7,38.725,3.11,48,0,0,36,0,117447,117542,HPB,10,1957-09-12 19:00:00,1957-09-14 18:30:00,1957,9,12,18,1957,9,14,18,13
8,22.07,2.99,45,0,0,6,0,136579,136668,HPB,10,1958-10-16 09:00:00,1958-10-18 05:30:00,1958,10,16,12,1958,10,18,6,13
9,27.88,3.24,25,0,0,6,0,136829,136878,HPB,10,1958-10-21 14:00:00,1958-10-22 14:30:00,1958,10,21,12,1958,10,22,12,8
10,52.09,2.5,84.5,0,11.5,6,0,153391,153559,HPB,10,1959-10-01 15:00:00,1959-10-05 03:00:00,1959,10,1,18,1959,10,5,6,8
11,41.855,6.43,99,0,30.5,6,0,168390,168587,HPB,10,1960-08-09 02:30:00,1960-08-13 05:00:00,1960,8,9,0,1960,8,13,6,12
12,22.375,1.3,63,0,27,48,0,187107,187232,HPB,10,1961-09-03 01:00:00,1961-09-05 15:30:00,1961,9,3,0,1961,9,5,18,8
13,32.77,3.99,43,22,21,18,0,202576,202661,HPB,10,1962-07-22 07:30:00,1962-07-24 02:00:00,1962,7,22,6,1962,7,24,0,2
14,48.8,3.93,34.5,0,0,24,0,222827,222895,HPB,10,1963-09-17 05:00:00,1963-09-18 15:00:00,1963,9,17,6,1963,9,18,18,8
15,74.885,5.44,74.5,27.5,47,18,0,239299,239447,HPB,10,1964-08-25 09:00:00,1964-08-28 11:00:00,1964,8,25,12,1964,8,28,12,9
16,30.86,3.24,73,0,0,36,0,259496,259641,HPB,10,1965-10-20 03:30:00,1965-10-23 04:00:00,1965,10,20,6,1965,10,23,6,8
17,58.625,2.79,55,0,0,0,0,290463,290572,HPB,10,1967-07-27 07:00:00,1967-07-29 13:30:00,1967,7,27,6,1967,7,29,12,10
18,35.285,2.92,130.5,0,43.5,0,0,308268,308528,HPB,10,1968-08-01 05:30:00,1968-08-06 15:30:00,1968,8,1,6,1968,8,6,18,10
19,91.455,5.68,73.5,0,73.5,6,0,308541,308687,HPB,10,1968-08-06 22:00:00,1968-08-09 23:00:00,1968,8,7,0,1968,8,10,0,12
20,32.22,2.91,51,0,0,0,0,328104,328205,HPB,10,1969-09-18 11:30:00,1969-09-20 14:00:00,1969,9,18,12,1969,9,20,12,12
21,47.605,2.87,47.5,0,42,24,0,328346,328440,HPB,10,1969-09-23 12:30:00,1969-09-25 11:30:00,1969,9,23,12,1969,9,25,12,12
22,35.44,2.25,60.5,19.5,41,12,0,344375,344495,HPB,10,1970-08-23 11:00:00,1970-08-25 23:00:00,1970,8,23,12,1970,8,26,0,12
23,38.61,3.92,32.5,0,13,0,0,381264,381328,HPB,10,1972-09-29 23:30:00,1972-10-01 07:30:00,1972,9,30,0,1972,10,1,6,2
24,31.365,5.75,43.5,0,0,6,0,399344,399430,HPB,10,1973-10-11 15:30:00,1973-10-13 10:30:00,1973,10,11,18,1973,10,13,12,2
25,114.25,8.38,121.5,8.5,32,6,0,413869,414111,HPB,10,1974-08-10 06:00:00,1974-08-15 07:00:00,1974,8,10,6,1974,8,15,6,8
26,59.72,6.18,62.5,0,0,0,0,436005,436129,HPB,10,1975-11-14 10:00:00,1975-11-17 00:00:00,1975,11,14,12,1975,11,17,0,9
27,39.305,3.85,56,0,47,60,0,449287,449398,HPB,10,1976-08-17 03:00:00,1976-08-19 10:30:00,1976,8,17,6,1976,8,19,12,9
28,26.385,3.22,54,0,0,54,0,449414,449521,HPB,10,1976-08-19 18:30:00,1976-08-22 00:00:00,1976,8,19,18,1976,8,22,0,9
29,41.635,2.42,61,0,0,0,0,466159,466280,HPB,10,1977-08-03 15:00:00,1977-08-06 03:30:00,1977,8,3,18,1977,8,6,6,2
30,20.755,4.19,17,0,0,12,0,483961,483994,HPB,10,1978-08-09 12:00:00,1978-08-10 04:30:00,1978,8,9,12,1978,8,10,6,2
31,26.38,3.1,30.5,8,20,12,0,484170,484230,HPB,10,1978-08-13 20:30:00,1978-08-15 02:30:00,1978,8,13,18,1978,8,15,0,2
32,30.23,2.85,54,0,0,18,0,503972,504079,HPB,10,1979-09-30 09:30:00,1979-10-02 15:00:00,1979,9,30,12,1979,10,2,18,9
33,41.385,2.89,39.5,0,0,18,0,504529,504607,HPB,10,1979-10-12 00:00:00,1979-10-13 15:00:00,1979,10,12,0,1979,10,13,18,2
34,41.465,6.3,44,19,25,6,0,518826,518913,HPB,10,1980-08-04 20:30:00,1980-08-06 16:00:00,1980,8,4,18,1980,8,6,18,8
35,61.495,3.01,44,0,5,30,0,538234,538321,HPB,10,1981-09-13 04:30:00,1981-09-15 00:00:00,1981,9,13,6,1981,9,15,0,8
36,24.495,3.39,34,0,0,12,0,556205,556272,HPB,10,1982-09-22 14:00:00,1982-09-23 23:30:00,1982,9,22,12,1982,9,24,0,8
37,32.39,3.8,57,0,5,12,0,556662,556775,HPB,10,1982-10-02 02:30:00,1982-10-04 11:00:00,1982,10,2,0,1982,10,4,12,8
38,20.39,1.42,38,11,27,18,0,573148,573223,HPB,10,1983-09-10 13:30:00,1983-09-12 03:00:00,1983,9,10,12,1983,9,12,6,11
39,49.525,6.25,51.5,21,30.5,12,0,573512,573614,HPB,10,1983-09-18 03:30:00,1983-09-20 06:30:00,1983,9,18,6,1983,9,20,6,2
40,27.835,2.35,71,0,0,42,0,589969,590110,HPB,10,1984-08-26 00:00:00,1984-08-28 22:30:00,1984,8,26,0,1984,8,29,0,2
41,39.525,2.23,51.5,0,0,18,0,608292,608394,HPB,10,1985-09-11 17:30:00,1985-09-13 20:30:00,1985,9,11,18,1985,9,13,18,8
42,66.86,3.77,85,0,0,36,0,624928,625097,HPB,10,1986-08-24 07:30:00,1986-08-27 20:00:00,1986,8,24,6,1986,8,27,18,12
43,33.825,1.9,83,0,41.5,12,0,645365,645530,HPB,10,1987-10-24 02:00:00,1987-10-27 12:30:00,1987,10,24,0,1987,10,27,12,9
44,26.04,4.56,24,0,0,0,0,645721,645768,HPB,10,1987-10-31 12:00:00,1987-11-01 11:30:00,1987,10,31,12,1987,11,1,12,9
45,22.87,2.59,109,0,0,18,0,663240,663457,HPB,10,1988-10-30 11:30:00,1988-11-04 00:00:00,1988,10,30,12,1988,11,4,0,9
46,39.46,4.55,35,0,0,0,0,679050,679119,HPB,10,1989-09-24 20:30:00,1989-09-26 07:00:00,1989,9,24,18,1989,9,26,6,7
47,32.44,4.16,18.5,0,0,0,0,698979,699015,HPB,10,1990-11-14 01:00:00,1990-11-14 19:00:00,1990,11,14,0,1990,11,14,18,2
48,40.26,2.49,50.5,0,0,6,0,714269,714369,HPB,10,1991-09-28 14:00:00,1991-09-30 16:00:00,1991,9,28,12,1991,9,30,18,2
49,99.07,4.97,128,0,0,24,0,732085,732340,HPB,10,1992-10-03 18:00:00,1992-10-09 01:30:00,1992,10,3,18,1992,10,9,0,2
50,47.455,3.41,39.5,0,0,12,0,746212,746290,HPB,10,1993-07-25 01:30:00,1993-07-26 16:30:00,1993,7,25,0,1993,7,26,18,2
51,30.685,2.47,40.5,0,0,0,0,766460,766540,HPB,10,1994-09-19 21:30:00,1994-09-21 13:30:00,1994,9,20,0,1994,9,21,12,13
52,61.46,3.27,83.5,31,103,18,0,782124,782290,HPB,10,1995-08-12 05:30:00,1995-08-15 16:30:00,1995,8,12,6,1995,8,15,18,2
53,49.465,2.43,112.5,51.5,30.5,12,0,801953,802177,HPB,10,1996-09-28 08:00:00,1996-10-03 00:00:00,1996,9,28,6,1996,10,3,0,8
54,74.32,5.05,62.5,18,29.5,48,0,817792,817916,HPB,10,1997-08-24 07:30:00,1997-08-26 21:30:00,1997,8,24,6,1997,8,27,0,13
55,34.295,4.43,31,0,0,6,0,831383,831444,HPB,10,1998-06-03 11:00:00,1998-06-04 17:30:00,1998,6,3,12,1998,6,4,18,2
56,50.105,3.59,64.5,0,41.5,36,0,853723,853851,HPB,10,1999-09-11 21:00:00,1999-09-14 13:00:00,1999,9,12,0,1999,9,14,12,2
57,30.955,3.84,78.5,0,41.5,0,0,869916,870072,HPB,10,2000-08-14 05:30:00,2000-08-17 11:30:00,2000,8,14,6,2000,8,17,12,4
58,59.99,6.15,40,0,0,12,0,870226,870305,HPB,10,2000-08-20 16:30:00,2000-08-22 08:00:00,2000,8,20,18,2000,8,22,6,2
59,61.92,6.67,67,15,47.5,0,0,890818,890951,HPB,10,2001-10-23 16:30:00,2001-10-26 11:00:00,2001,10,23,18,2001,10,26,12,2
60,71.1,4.04,76,0,0,24,0,905085,905236,HPB,10,2002-08-16 22:00:00,2002-08-20 01:30:00,2002,8,17,0,2002,8,20,0,2
61,48.095,1.45,95,0,8.5,0,0,920443,920632,HPB,10,2003-07-02 21:00:00,2003-07-06 19:30:00,2003,7,3,0,2003,7,6,18,2
62,69.405,4.27,61.5,0,8,30,0,940506,940628,HPB,10,2004-08-23 20:30:00,2004-08-26 09:30:00,2004,8,23,18,2004,8,26,12,2
63,51.965,7.32,24.5,0,0,0,0,957617,957665,HPB,10,2005-08-15 08:00:00,2005-08-16 08:00:00,2005,8,15,6,2005,8,16,6,7
64,34.82,4.28,45,0,0,18,0,976286,976375,HPB,10,2006-09-08 06:30:00,2006-09-10 03:00:00,2006,9,8,6,2006,9,10,6,7
65,46.13,3,32,0,0,24,0,995287,995350,HPB,10,2007-10-09 03:00:00,2007-10-10 10:30:00,2007,10,9,6,2007,10,10,12,2
66,36.78,2.33,61.5,0,0,0,0,1013912,1014034,HPB,10,2008-10-31 03:30:00,2008-11-02 16:30:00,2008,10,31,6,2008,11,2,18,12
67,31.6,3.76,48,0,0,6,0,1030732,1030827,HPB,10,2009-10-16 13:30:00,2009-10-18 13:00:00,2009,10,16,12,2009,10,18,12,12
