x___2,流域平均累加雨量,最大降雨強度,継続時間,台風直接時間,台風間接時間,前線時間,線状降水帯時間,開始,終了,SST,アンサンブル,開始時刻,終了時刻,DynamicCluster,開始年,開始月,開始日,開始時,終了年,終了月,終了日,終了時,rain_time,rain_space
24_23,21.385,3.56,86,0,0,NaN,0,366057,366228,HPB,44,1971-11-18 04:00:00,1971-11-21 17:30:00,NaN,1971,11,18,6,1971,11,21,18,1,2
25_23,29.715,3.79,26,0,0,NaN,0,379322,379373,HPB,44,1972-08-20 12:30:00,1972-08-21 14:00:00,NaN,1972,8,20,12,1972,8,21,12,3,8
26_23,23.25,3.71,29.5,0,0,NaN,0,396723,396781,HPB,44,1973-08-18 01:00:00,1973-08-19 06:00:00,NaN,1973,8,18,0,1973,8,19,6,1,6
27_23,25.265,1.97,68.5,0,18.5,NaN,0,413668,413804,HPB,44,1974-08-06 01:30:00,1974-08-08 21:30:00,NaN,1974,8,6,0,1974,8,9,0,2,10
28_23,165.98,8.71,161,6.5,40,NaN,0,430576,430897,HPB,44,1975-07-24 07:30:00,1975-07-31 00:00:00,NaN,1975,7,24,6,1975,7,31,0,2,1
29_23,50.955,3.31,55,0,24,NaN,0,446145,446254,HPB,44,1976-06-12 16:00:00,1976-06-14 22:30:00,NaN,1976,6,12,18,1976,6,15,0,3,5
30_23,22.49,3.1,16.5,0,9.5,NaN,0,468434,468466,HPB,44,1977-09-20 00:30:00,1977-09-20 16:30:00,NaN,1977,9,20,0,1977,9,20,18,3,5
31_23,75.125,6.9,36.5,17,19.5,NaN,0,468961,469033,HPB,44,1977-10-01 00:00:00,1977-10-02 12:00:00,NaN,1977,10,1,0,1977,10,2,12,3,5
32_23,21.82,2.14,23.5,0,0,NaN,0,486262,486308,HPB,44,1978-09-26 10:30:00,1978-09-27 09:30:00,NaN,1978,9,26,12,1978,9,27,12,3,2
33_23,36.025,2.7,29.5,0,0,NaN,0,486684,486742,HPB,44,1978-10-05 05:30:00,1978-10-06 10:30:00,NaN,1978,10,5,6,1978,10,6,12,3,2
34_23,23.37,3.73,41.5,0,0,NaN,0,503804,503886,HPB,44,1979-09-26 21:30:00,1979-09-28 14:30:00,NaN,1979,9,27,0,1979,9,28,12,2,8
35_23,55.12,2.64,76,28,21.5,NaN,0,504221,504372,HPB,44,1979-10-05 14:00:00,1979-10-08 17:30:00,NaN,1979,10,5,12,1979,10,8,18,2,8
36_23,26.175,4.11,80,0,0,NaN,0,523134,523293,HPB,44,1980-11-02 14:30:00,1980-11-05 22:00:00,NaN,1980,11,2,12,1980,11,6,0,1,8
37_23,33.06,2.49,51.5,10.5,15.5,NaN,0,538300,538402,HPB,44,1981-09-14 13:30:00,1981-09-16 16:30:00,NaN,1981,9,14,12,1981,9,16,18,3,10
38_23,26.25,3.33,34,26,8,NaN,0,554660,554727,HPB,44,1982-08-21 09:30:00,1982-08-22 19:00:00,NaN,1982,8,21,12,1982,8,22,18,3,6
39_23,26.39,4.93,63,0,0,NaN,0,554888,555013,HPB,44,1982-08-26 03:30:00,1982-08-28 18:00:00,NaN,1982,8,26,6,1982,8,28,18,3,6
40_23,31.92,2.18,86.5,32.5,44.5,NaN,0,574265,574437,HPB,44,1983-10-03 20:00:00,1983-10-07 10:00:00,NaN,1983,10,3,18,1983,10,7,12,3,9
41_23,30.54,3.64,69,0,0,NaN,0,593500,593637,HPB,44,1984-11-07 13:30:00,1984-11-10 10:00:00,NaN,1984,11,7,12,1984,11,10,12,1,8
42_23,39.425,4.34,47.5,0,0,NaN,0,610178,610272,HPB,44,1985-10-21 00:30:00,1985-10-22 23:30:00,NaN,1985,10,21,0,1985,10,23,0,1,2
43_23,43.19,3.1,47.5,0,0,NaN,0,620976,621070,HPB,44,1986-06-02 23:30:00,1986-06-04 22:30:00,NaN,1986,6,3,0,1986,6,5,0,3,9
44_23,32.635,3.15,51,0,0,NaN,0,621110,621211,HPB,44,1986-06-05 18:30:00,1986-06-07 21:00:00,NaN,1986,6,5,18,1986,6,8,0,3,9
45_23,28.135,3.98,81.5,0,0,NaN,0,646291,646453,HPB,44,1987-11-12 09:00:00,1987-11-15 18:00:00,NaN,1987,11,12,12,1987,11,15,18,1,8
46_23,31.445,2.21,44,0,0,NaN,0,661628,661715,HPB,44,1988-09-26 21:30:00,1988-09-28 17:00:00,NaN,1988,9,27,0,1988,9,28,18,3,5
47_23,50.475,5.4,33,0,0,NaN,0,661941,662006,HPB,44,1988-10-03 10:00:00,1988-10-04 18:30:00,NaN,1988,10,3,12,1988,10,4,18,3,5
48_23,52.295,2.93,101.5,0,0,NaN,0,676195,676397,HPB,44,1989-07-27 09:00:00,1989-07-31 14:00:00,NaN,1989,7,27,12,1989,7,31,12,2,6
49_23,20.96,1.36,71.5,0,42.5,NaN,0,695173,695315,HPB,44,1990-08-26 18:00:00,1990-08-29 17:00:00,NaN,1990,8,26,18,1990,8,29,18,2,8
50_23,54.665,3.33,60.5,17.5,37.5,NaN,0,695565,695685,HPB,44,1990-09-03 22:00:00,1990-09-06 10:00:00,NaN,1990,9,4,0,1990,9,6,12,2,8
51_23,37.88,3.35,28,0,0,NaN,0,712658,712713,HPB,44,1991-08-26 00:30:00,1991-08-27 04:00:00,NaN,1991,8,26,0,1991,8,27,6,3,8
52_23,48.515,5.83,85,16.5,63.5,NaN,0,734066,734235,HPB,44,1992-11-14 00:30:00,1992-11-17 13:00:00,NaN,1992,11,14,0,1992,11,17,12,1,6
53_23,26.56,2.3,53.5,0,0,NaN,0,744217,744323,HPB,44,1993-06-13 12:00:00,1993-06-15 17:00:00,NaN,1993,6,13,12,1993,6,15,18,1,1
54_23,23.77,5.78,20,0,0,NaN,0,744678,744717,HPB,44,1993-06-23 02:30:00,1993-06-23 22:00:00,NaN,1993,6,23,0,1993,6,24,0,1,1
55_23,54.975,4.2,64,0,19,NaN,0,766318,766445,HPB,44,1994-09-16 22:30:00,1994-09-19 14:00:00,NaN,1994,9,17,0,1994,9,19,12,2,1
56_23,23.76,1.73,108.5,0,0,NaN,0,785758,785974,HPB,44,1995-10-26 22:30:00,1995-10-31 10:30:00,NaN,1995,10,27,0,1995,10,31,12,3,6
57_23,40.865,3.14,39,0,0,NaN,0,786070,786147,HPB,44,1995-11-02 10:30:00,1995-11-04 01:00:00,NaN,1995,11,2,12,1995,11,4,0,3,6
58_23,25.64,1.43,52.5,0,0,NaN,0,801249,801353,HPB,44,1996-09-13 16:00:00,1996-09-15 20:00:00,NaN,1996,9,13,18,1996,9,15,18,3,5
59_23,48.67,2.97,149,0,6,NaN,0,801369,801666,HPB,44,1996-09-16 04:00:00,1996-09-22 08:30:00,NaN,1996,9,16,6,1996,9,22,6,3,5
60_23,69.405,7.38,43.5,19.5,24,NaN,0,818088,818174,HPB,44,1997-08-30 11:30:00,1997-09-01 06:30:00,NaN,1997,8,30,12,1997,9,1,6,3,8
61_23,21.6,3.76,15.5,0,0,NaN,0,833735,833765,HPB,44,1998-07-22 11:00:00,1998-07-23 02:00:00,NaN,1998,7,22,12,1998,7,23,0,2,6
62_23,83.005,6.21,174,0,0,NaN,0,854699,855046,HPB,44,1999-10-02 05:00:00,1999-10-09 10:30:00,NaN,1999,10,2,6,1999,10,9,12,3,2
63_23,35.645,4.09,30,0,0,NaN,0,874495,874554,HPB,44,2000-11-17 15:00:00,2000-11-18 20:30:00,NaN,2000,11,17,18,2000,11,18,18,1,9
64_21,33.805,2.45,73.5,0,0,NaN,0,888409,888555,HPB,44,2001-09-03 12:00:00,2001-09-06 13:00:00,NaN,2001,9,3,12,2001,9,6,12,2,7
65_21,44.46,3.45,67.5,14.5,26,NaN,0,888613,888747,HPB,44,2001-09-07 18:00:00,2001-09-10 13:00:00,NaN,2001,9,7,18,2001,9,10,12,2,7
66_19,32.21,3.76,44.5,0,1,NaN,0,888780,888868,HPB,44,2001-09-11 05:30:00,2001-09-13 01:30:00,NaN,2001,9,11,6,2001,9,13,0,2,7
67_19,40.53,5.01,27,0,0,NaN,0,907616,907669,HPB,44,2002-10-08 15:30:00,2002-10-09 18:00:00,NaN,2002,10,8,18,2002,10,9,18,1,5
68_16,41.38,3.62,36.5,0,9,NaN,0,918918,918990,HPB,44,2003-06-01 02:30:00,2003-06-02 14:30:00,NaN,2003,6,1,0,2003,6,2,12,3,2
69_10,47.285,5.57,45.5,22,18,NaN,0,939786,939876,HPB,44,2004-08-08 20:30:00,2004-08-10 17:30:00,NaN,2004,8,8,18,2004,8,10,18,1,7
70_8,23.47,1.48,76.5,0,0,NaN,0,955546,955698,HPB,44,2005-07-03 04:30:00,2005-07-06 08:30:00,NaN,2005,7,3,6,2005,7,6,6,2,1
71_7,20.595,3.84,19,17,2,NaN,0,972646,972683,HPB,44,2006-06-24 10:30:00,2006-06-25 05:00:00,NaN,2006,6,24,12,2006,6,25,6,1,9
72_6,60.48,5.74,58.5,0,25,NaN,0,990555,990671,HPB,44,2007-07-02 13:00:00,2007-07-04 23:00:00,NaN,2007,7,2,12,2007,7,5,0,3,6
73_5,57.39,7.91,67,50.5,16.5,NaN,0,1012168,1012301,HPB,44,2008-09-24 19:30:00,2008-09-27 14:00:00,NaN,2008,9,24,18,2008,9,27,12,1,9
74_4,24.7,4.55,65,0,0,NaN,0,1031221,1031350,HPB,44,2009-10-26 18:00:00,2009-10-29 10:30:00,NaN,2009,10,26,18,2009,10,29,12,1,4
75_4,75.515,11.33,47,28,20,NaN,0,1045483,1045576,HPB,44,2010-08-19 21:00:00,2010-08-21 19:30:00,NaN,2010,8,20,0,2010,8,21,18,1,9
1_24,69.665,10.47,46,35.5,10.5,NaN,0,11948,12039,HPB,45,1951-09-06 21:30:00,1951-09-08 19:00:00,NaN,1951,9,7,0,1951,9,8,18,1,9
2_24,34.39,4.26,23,23,0,NaN,0,28754,28799,HPB,45,1952-08-22 00:30:00,1952-08-22 23:00:00,NaN,1952,8,22,0,1952,8,23,0,2,1
3_24,42.535,3.24,75,16.5,36,NaN,0,29260,29409,HPB,45,1952-09-01 13:30:00,1952-09-04 16:00:00,NaN,1952,9,1,12,1952,9,4,18,2,1
4_24,44.525,3.18,44,13,31,NaN,0,46321,46408,HPB,45,1953-08-23 00:00:00,1953-08-24 19:30:00,NaN,1953,8,23,0,1953,8,24,18,3,10
5_24,29.225,2.91,38.5,0,0,NaN,0,64113,64189,HPB,45,1954-08-28 16:00:00,1954-08-30 06:00:00,NaN,1954,8,28,18,1954,8,30,6,2,1
6_24,29.485,1.52,80.5,0,0,NaN,0,64207,64367,HPB,45,1954-08-30 15:00:00,1954-09-02 23:00:00,NaN,1954,8,30,18,1954,9,3,0,2,1
7_24,37.89,4.86,30.5,21.5,9,NaN,0,78335,78395,HPB,45,1955-06-20 23:00:00,1955-06-22 05:00:00,NaN,1955,6,21,0,1955,6,22,6,3,5
8_24,30.835,4.02,58,0,0,NaN,0,100838,100953,HPB,45,1956-10-01 18:30:00,1956-10-04 04:00:00,NaN,1956,10,1,18,1956,10,4,6,3,4
9_24,103.035,6.54,81,16,31,NaN,0,116143,116304,HPB,45,1957-08-16 15:00:00,1957-08-19 23:30:00,NaN,1957,8,16,18,1957,8,20,0,2,7
10_24,69.37,7.12,59.5,0,40.5,NaN,0,151854,151972,HPB,45,1959-08-30 14:30:00,1959-09-02 01:30:00,NaN,1959,8,30,12,1959,9,2,0,1,6
11_24,105.655,6.83,50,19,56,NaN,0,170265,170364,HPB,45,1960-09-17 04:00:00,1960-09-19 05:30:00,NaN,1960,9,17,6,1960,9,19,6,2,8
12_24,35.255,5.19,101,0,0,NaN,0,190175,190376,HPB,45,1961-11-05 23:00:00,1961-11-10 03:30:00,NaN,1961,11,6,0,1961,11,10,6,1,8
13_24,49.06,2.49,81.5,0.5,51,NaN,0,204945,205107,HPB,45,1962-09-09 16:00:00,1962-09-13 01:00:00,NaN,1962,9,9,18,1962,9,13,0,2,5
14_24,47.47,3.8,75.5,70,5.5,NaN,0,219967,220117,HPB,45,1963-07-19 15:00:00,1963-07-22 18:00:00,NaN,1963,7,19,18,1963,7,22,18,3,8
15_24,54.2,6.23,51,40.5,10.5,NaN,0,237071,237172,HPB,45,1964-07-09 23:00:00,1964-07-12 01:30:00,NaN,1964,7,10,0,1964,7,12,0,2,1
16_24,56.045,3.01,73,19.5,31.5,NaN,0,237293,237438,HPB,45,1964-07-14 14:00:00,1964-07-17 14:30:00,NaN,1964,7,14,12,1964,7,17,12,2,1
17_24,81.245,6.55,78.5,0,0,NaN,0,257011,257167,HPB,45,1965-08-29 09:00:00,1965-09-01 15:00:00,NaN,1965,8,29,12,1965,9,1,18,3,7
18_24,40.65,6.06,35,0,0,NaN,0,274619,274688,HPB,45,1966-08-31 05:00:00,1966-09-01 15:30:00,NaN,1966,8,31,6,1966,9,1,18,1,9
19_24,111.94,7.75,58,34,24,NaN,0,290020,290135,HPB,45,1967-07-18 01:30:00,1967-07-20 11:00:00,NaN,1967,7,18,0,1967,7,20,12,2,6
20_24,39.595,2.86,40,0,0,NaN,0,310860,310939,HPB,45,1968-09-24 05:30:00,1968-09-25 21:00:00,NaN,1968,9,24,6,1968,9,26,0,1,5
21_24,38.25,6.97,25.5,0,25.5,NaN,0,311232,311282,HPB,45,1968-10-01 23:30:00,1968-10-03 00:30:00,NaN,1968,10,2,0,1968,10,3,0,1,5
22_24,36.385,2.83,39.5,20,44.5,NaN,0,330235,330313,HPB,45,1969-11-01 21:00:00,1969-11-03 12:00:00,NaN,1969,11,2,0,1969,11,3,12,3,8
23_24,48.615,5.59,37,24,13,NaN,0,342888,342961,HPB,45,1970-07-23 11:30:00,1970-07-25 00:00:00,NaN,1970,7,23,12,1970,7,25,0,1,2
24_24,40.735,3.34,45.5,35,10.5,NaN,0,359928,360018,HPB,45,1971-07-13 11:30:00,1971-07-15 08:30:00,NaN,1971,7,13,12,1971,7,15,6,3,6
25_24,23.65,3.01,35.5,0,0,NaN,0,378452,378522,HPB,45,1972-08-02 09:30:00,1972-08-03 20:30:00,NaN,1972,8,2,12,1972,8,3,18,2,7
26_24,33.52,2.85,56,28.5,27.5,NaN,0,416509,416620,HPB,45,1974-10-04 06:00:00,1974-10-06 13:30:00,NaN,1974,10,4,6,1974,10,6,12,3,8
27_24,43.125,6.07,43,0,0,NaN,0,432395,432480,HPB,45,1975-08-31 05:00:00,1975-09-01 23:30:00,NaN,1975,8,31,6,1975,9,2,0,1,8
28_24,28.16,1.53,87,17,70,NaN,0,432495,432668,HPB,45,1975-09-02 07:00:00,1975-09-05 21:30:00,NaN,1975,9,2,6,1975,9,6,0,1,8
29_24,20.24,2.53,47.5,0,0,NaN,0,450639,450733,HPB,45,1976-09-14 07:00:00,1976-09-16 06:00:00,NaN,1976,9,14,6,1976,9,16,6,2,9
30_24,91.14,4.47,71.5,0,0,NaN,0,450905,451047,HPB,45,1976-09-19 20:00:00,1976-09-22 19:00:00,NaN,1976,9,19,18,1976,9,22,18,2,9
31_24,61.125,2.52,87.5,0,0,NaN,0,469276,469450,HPB,45,1977-10-07 13:30:00,1977-10-11 04:30:00,NaN,1977,10,7,12,1977,10,11,6,2,10
32_24,40.495,2.48,52.5,0,0,NaN,0,483165,483269,HPB,45,1978-07-23 22:00:00,1978-07-26 02:00:00,NaN,1978,7,24,0,1978,7,26,0,2,5
33_24,21.58,1.82,25.5,0,0,NaN,0,505612,505662,HPB,45,1979-11-03 13:30:00,1979-11-04 14:30:00,NaN,1979,11,3,12,1979,11,4,12,3,4
34_24,29.79,3.78,130.5,0,0,NaN,0,523181,523441,HPB,45,1980-11-03 14:00:00,1980-11-09 00:00:00,NaN,1980,11,3,12,1980,11,9,0,1,2
35_24,34.15,2.68,34.5,28.5,6,NaN,0,538642,538710,HPB,45,1981-09-21 16:30:00,1981-09-23 02:30:00,NaN,1981,9,21,18,1981,9,23,0,3,4
36_24,72.595,3.98,89.5,0,0,NaN,0,551647,551825,HPB,45,1982-06-19 15:00:00,1982-06-23 08:00:00,NaN,1982,6,19,18,1982,6,23,6,2,1
37_24,27.9,2.69,54,0,0,NaN,0,569486,569593,HPB,45,1983-06-26 06:30:00,1983-06-28 12:00:00,NaN,1983,6,26,6,1983,6,28,12,3,6
38_24,25.05,1.95,56,0,0,NaN,0,587390,587501,HPB,45,1984-07-03 06:30:00,1984-07-05 14:00:00,NaN,1984,7,3,6,1984,7,5,12,2,9
39_24,69.565,3.74,72,29.5,42.5,NaN,0,587842,587985,HPB,45,1984-07-12 16:30:00,1984-07-15 16:00:00,NaN,1984,7,12,18,1984,7,15,18,2,9
40_24,36.98,2.92,54,20.5,38.5,NaN,0,609216,609323,HPB,45,1985-09-30 23:30:00,1985-10-03 05:00:00,NaN,1985,10,1,0,1985,10,3,6,3,9
41_24,42.165,2.94,69,13,24,NaN,0,626038,626175,HPB,45,1986-09-16 10:30:00,1986-09-19 07:00:00,NaN,1986,9,16,12,1986,9,19,6,2,6
42_24,37.205,1.51,151.5,0,0,NaN,0,642390,642692,HPB,45,1987-08-23 02:30:00,1987-08-29 09:30:00,NaN,1987,8,23,0,1987,8,29,12,2,10
43_24,36.375,2.78,30.5,0,0,NaN,0,662060,662120,HPB,45,1988-10-05 21:30:00,1988-10-07 03:30:00,NaN,1988,10,6,0,1988,10,7,6,3,8
44_24,29.7,4.15,41.5,0,2.5,NaN,0,697595,697677,HPB,45,1990-10-16 05:00:00,1990-10-17 22:00:00,NaN,1990,10,16,6,1990,10,18,0,1,9
45_24,26.435,3.09,66.5,0,0,NaN,0,711904,712036,HPB,45,1991-08-10 07:30:00,1991-08-13 01:30:00,NaN,1991,8,10,6,1991,8,13,0,2,5
46_24,55.61,5,56,0,0,NaN,0,712100,712211,HPB,45,1991-08-14 09:30:00,1991-08-16 17:00:00,NaN,1991,8,14,12,1991,8,16,18,2,5
47_24,37.095,4.7,42,21.5,32,NaN,0,729989,730072,HPB,45,1992-08-21 02:00:00,1992-08-22 19:30:00,NaN,1992,8,21,0,1992,8,22,18,3,8
48_24,81.71,2.3,105.5,0,15.5,NaN,0,745903,746113,HPB,45,1993-07-18 15:00:00,1993-07-23 00:00:00,NaN,1993,7,18,18,1993,7,23,0,2,1
49_24,33.855,3.97,49.5,41.5,8,NaN,0,781363,781461,HPB,45,1995-07-27 09:00:00,1995-07-29 10:00:00,NaN,1995,7,27,12,1995,7,29,12,3,5
50_24,64.72,9.38,45.5,17,28.5,NaN,0,800441,800531,HPB,45,1996-08-27 20:00:00,1996-08-29 17:00:00,NaN,1996,8,27,18,1996,8,29,18,3,6
51_24,74.24,6.2,42,20,22,NaN,0,818556,818639,HPB,45,1997-09-09 05:30:00,1997-09-10 23:00:00,NaN,1997,9,9,6,1997,9,11,0,3,8
52_24,26.355,2.17,80.5,29,45.5,NaN,0,834434,834594,HPB,45,1998-08-06 00:30:00,1998-08-09 08:30:00,NaN,1998,8,6,0,1998,8,9,6,2,6
53_24,35.11,1.81,73,0,0,NaN,0,834722,834867,HPB,45,1998-08-12 00:30:00,1998-08-15 01:00:00,NaN,1998,8,12,0,1998,8,15,0,2,6
54_24,56.785,4.75,53.5,0,0,NaN,0,856129,856235,HPB,45,1999-11-01 00:00:00,1999-11-03 05:00:00,NaN,1999,11,1,0,1999,11,3,6,1,6
55_24,42.325,6.21,67,0,0,NaN,0,873179,873312,HPB,45,2000-10-21 05:00:00,2000-10-23 23:30:00,NaN,2000,10,21,6,2000,10,24,0,1,9
56_24,44.405,5.44,35,17,18,NaN,0,888383,888452,HPB,45,2001-09-02 23:00:00,2001-09-04 09:30:00,NaN,2001,9,3,0,2001,9,4,12,1,9
57_24,58.26,5.34,59.5,30,29.5,NaN,0,908193,908311,HPB,45,2002-10-20 16:00:00,2002-10-23 03:00:00,NaN,2002,10,20,18,2002,10,23,6,3,8
58_24,58.625,9.52,37,0,0,NaN,0,924256,924329,HPB,45,2003-09-20 07:30:00,2003-09-21 20:00:00,NaN,2003,9,20,6,2003,9,21,18,1,6
59_24,37.235,2.97,57.5,0,0,NaN,0,938553,938667,HPB,45,2004-07-14 04:00:00,2004-07-16 13:00:00,NaN,2004,7,14,6,2004,7,16,12,3,6
60_24,83.36,6.15,41.5,15,26.5,NaN,0,957908,957990,HPB,45,2005-08-21 09:30:00,2005-08-23 02:30:00,NaN,2005,8,21,12,2005,8,23,0,2,6
61_24,69.025,3.23,51,0,0,NaN,0,976425,976526,HPB,45,2006-09-11 04:00:00,2006-09-13 06:30:00,NaN,2006,9,11,6,2006,9,13,6,2,5
62_24,34.615,2.43,40.5,0,0,NaN,0,993984,994064,HPB,45,2007-09-11 23:30:00,2007-09-13 15:30:00,NaN,2007,9,12,0,2007,9,13,18,3,5
63_24,65.05,3.3,90.5,0,0,NaN,0,1008959,1009139,HPB,45,2008-07-19 23:00:00,2008-07-23 17:00:00,NaN,2008,7,20,0,2008,7,23,18,2,6
64_22,62.11,3.75,76,0,0,NaN,0,1030457,1030608,HPB,45,2009-10-10 20:00:00,2009-10-13 23:30:00,NaN,2009,10,10,18,2009,10,14,0,2,8
1_25,43.37,2.85,81.5,23.5,65,NaN,23,11261,11423,HPB,46,1951-08-23 14:00:00,1951-08-26 23:00:00,NaN,1951,8,23,12,1951,8,27,0,2,8
2_25,40.475,4.16,45.5,0,0,NaN,0,26555,26645,HPB,46,1952-07-07 05:00:00,1952-07-09 02:00:00,NaN,1952,7,7,6,1952,7,9,0,3,6
3_25,26.9,2.02,97.5,0,0,NaN,0,50904,51098,HPB,46,1953-11-26 11:30:00,1953-11-30 12:30:00,NaN,1953,11,26,12,1953,11,30,12,3,8
4_25,46.43,5.37,24,0,0,NaN,0,64175,64222,HPB,46,1954-08-29 23:00:00,1954-08-30 22:30:00,NaN,1954,8,30,0,1954,8,31,0,1,6
5_25,21.54,1.65,49,18.5,30.5,NaN,0,81579,81676,HPB,46,1955-08-27 13:00:00,1955-08-29 13:30:00,NaN,1955,8,27,12,1955,8,29,12,2,7
6_25,37.45,1.98,101,0,15.5,NaN,0,98419,98620,HPB,46,1956-08-12 09:00:00,1956-08-16 13:30:00,NaN,1956,8,12,12,1956,8,16,12,2,6
7_25,41.605,2.99,40.5,12,23,NaN,0,119111,119191,HPB,46,1957-10-17 11:00:00,1957-10-19 03:00:00,NaN,1957,10,17,12,1957,10,19,6,3,8
8_25,94.71,4.21,95,26.5,64.5,NaN,0,135334,135523,HPB,46,1958-09-20 10:30:00,1958-09-24 09:00:00,NaN,1958,9,20,12,1958,9,24,12,2,1
9_25,65,3.73,66.5,10.5,44.5,NaN,0,153000,153132,HPB,46,1959-09-23 11:30:00,1959-09-26 05:30:00,NaN,1959,9,23,12,1959,9,26,6,2,6
10_25,23.66,3.22,44,0,0,NaN,0,168866,168953,HPB,46,1960-08-19 00:30:00,1960-08-20 20:00:00,NaN,1960,8,19,0,1960,8,20,18,2,6
11_25,98.76,7.38,128.5,23.5,41,NaN,0,169258,169514,HPB,46,1960-08-27 04:30:00,1960-09-01 12:30:00,NaN,1960,8,27,6,1960,9,1,12,2,6
12_25,69.94,3.47,138.5,11,55,NaN,0,186972,187248,HPB,46,1961-08-31 05:30:00,1961-09-05 23:30:00,NaN,1961,8,31,6,1961,9,6,0,2,6
13_25,49.945,7.13,36.5,24.5,12,NaN,0,202924,202996,HPB,46,1962-07-29 13:30:00,1962-07-31 01:30:00,NaN,1962,7,29,12,1962,7,31,0,1,9
14_25,35.315,2.37,75.5,0,0,NaN,0,222309,222459,HPB,46,1963-09-06 10:00:00,1963-09-09 13:00:00,NaN,1963,9,6,12,1963,9,9,12,2,9
15_25,29.24,4.49,17,0,0,NaN,0,241498,241531,HPB,46,1964-10-10 04:30:00,1964-10-10 21:00:00,NaN,1964,10,10,6,1964,10,11,0,1,8
16_25,33.08,4.72,74.5,0,0,NaN,0,261205,261353,HPB,46,1965-11-24 18:00:00,1965-11-27 20:00:00,NaN,1965,11,24,18,1965,11,27,18,1,4
17_25,27.36,3.32,55,0,0,NaN,0,270431,270540,HPB,46,1966-06-04 23:00:00,1966-06-07 05:30:00,NaN,1966,6,5,0,1966,6,7,6,2,6
18_25,50.68,2.79,83,29.5,53.5,NaN,0,293876,294041,HPB,46,1967-10-06 09:30:00,1967-10-09 20:00:00,NaN,1967,10,6,12,1967,10,9,18,2,8
19_25,27.74,3.05,26,0,0,NaN,0,311324,311375,HPB,46,1968-10-03 21:30:00,1968-10-04 23:00:00,NaN,1968,10,4,0,1968,10,5,0,2,2
20_25,25.54,2.27,62.5,0,46,NaN,0,311397,311521,HPB,46,1968-10-05 10:00:00,1968-10-08 00:00:00,NaN,1968,10,5,12,1968,10,8,0,2,2
21_25,52.28,2.26,120,0,0,NaN,0,326930,327169,HPB,46,1969-08-25 00:30:00,1969-08-30 00:00:00,NaN,1969,8,25,0,1969,8,30,0,2,1
22_25,29.15,3.13,122.5,0,0,NaN,0,366045,366289,HPB,46,1971-11-17 22:00:00,1971-11-23 00:00:00,NaN,1971,11,18,0,1971,11,23,0,3,2
23_25,32.33,3.13,60.5,0,0,NaN,0,379858,379978,HPB,46,1972-08-31 16:30:00,1972-09-03 04:30:00,NaN,1972,8,31,18,1972,9,3,6,2,6
24_25,47.48,2.99,138.5,21.5,74,NaN,0,380108,380384,HPB,46,1972-09-05 21:30:00,1972-09-11 15:30:00,NaN,1972,9,6,0,1972,9,11,18,2,6
25_25,26.405,1.74,73,50,23,NaN,0,397181,397326,HPB,46,1973-08-27 14:00:00,1973-08-30 14:30:00,NaN,1973,8,27,12,1973,8,30,12,2,5
26_25,41.26,8.13,52.5,0,0,NaN,0,415265,415369,HPB,46,1974-09-08 08:00:00,1974-09-10 12:00:00,NaN,1974,9,8,6,1974,9,10,12,1,2
27_25,40.895,4.43,41,0,0,NaN,0,429666,429747,HPB,46,1975-07-05 08:30:00,1975-07-07 01:00:00,NaN,1975,7,5,6,1975,7,7,0,2,7
28_25,67.6,4.85,120,0,0,NaN,0,429824,430063,HPB,46,1975-07-08 15:30:00,1975-07-13 15:00:00,NaN,1975,7,8,18,1975,7,13,18,2,7
29_25,48.88,5.84,83,0,0,NaN,0,449148,449313,HPB,46,1976-08-14 05:30:00,1976-08-17 16:00:00,NaN,1976,8,14,6,1976,8,17,18,3,2
30_25,106.325,14.43,39,0,0,NaN,0,467063,467140,HPB,46,1977-08-22 11:00:00,1977-08-24 01:30:00,NaN,1977,8,22,12,1977,8,24,0,2,7
31_25,22.95,1.54,44.5,0,0,NaN,0,483601,483689,HPB,46,1978-08-02 00:00:00,1978-08-03 20:00:00,NaN,1978,8,2,0,1978,8,3,18,2,7
32_25,41.95,4.26,77,15,41,NaN,0,501196,501349,HPB,46,1979-08-03 13:30:00,1979-08-06 18:00:00,NaN,1979,8,3,12,1979,8,6,18,3,8
33_25,67.425,6.14,47.5,16,28.5,NaN,0,519204,519298,HPB,46,1980-08-12 17:30:00,1980-08-14 16:30:00,NaN,1980,8,12,18,1980,8,14,18,2,2
34_25,133.76,5.24,150.5,13.5,60.5,NaN,0,519349,519649,HPB,46,1980-08-15 18:00:00,1980-08-22 00:00:00,NaN,1980,8,15,18,1980,8,22,0,2,2
35_25,59.14,2.95,50.5,16.5,29,NaN,0,534275,534375,HPB,46,1981-06-22 17:00:00,1981-06-24 19:00:00,NaN,1981,6,22,18,1981,6,24,18,2,6
36_25,54.255,1.87,146.5,0,48,NaN,0,552914,553206,HPB,46,1982-07-16 00:30:00,1982-07-22 02:30:00,NaN,1982,7,16,0,1982,7,22,0,2,8
37_25,40.435,2.59,87,0,0,NaN,0,553407,553580,HPB,46,1982-07-26 07:00:00,1982-07-29 21:30:00,NaN,1982,7,26,6,1982,7,30,0,2,8
38_25,43.265,2.11,125,0,0,NaN,0,572431,572680,HPB,46,1983-08-26 15:00:00,1983-08-31 19:30:00,NaN,1983,8,26,18,1983,8,31,18,2,6
